connectorType,durationSession,durationCharge,energy,cost,tariff,meanPower,maxPower,anomaly
1.0,0.16137254,0.11862746,1.0,0.90802747,0.32581377,1.0,1.0,1
1.0,1.0,1.0,1.0,0.0,0.03137255,0.46962744,1.0,1
1.0,0.38,0.38,0.0,1.0,1.0,1.0,1.0,1
1.0,0.21137255,0.71862745,1.0,1.0,0.21500891,1.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.15383685,1.0,1.0,1
1.0,0.38137254,0.15137255,1.0,1.0,0.33862746,1.0,1.0,1
0.03137255,1.0,1.0,1.0,1.0,0.18086873,1.0,1.0,1
1.0,0.37,0.76,1.0,1.0,0.21148674,0.0,1.0,1
0.0,1.0,1.0,1.0,1.0,0.20333333,0.0,1.0,1
1.0,1.0,1.0,1.0,1.0,0.03137255,1.0,1.0,1
1.0,0.98137254,0.91862744,1.0,0.0,0.03137255,1.0,1.0,1
1.0,1.0,0.41137254,1.0,1.0,0.1704766,1.0,1.0,1
1.0,0.65,0.65,1.0,1.0,0.17,0.0,1.0,1
0.96862745,1.0,1.0,1.0,1.0,1.0,0.6023725,1.0,1
1.0,0.28137255,0.101372555,1.0,1.0,0.19722706,1.0,1.0,1
1.0,0.5513725,1.0,1.0,1.0,0.21137255,1.0,1.0,1
1.0,1.0,1.0,0.03137255,0.03137255,0.03137255,0.0,1.0,1
0.96862745,1.0,1.0,1.0,0.03137255,0.0,1.0,1.0,1
1.0,0.19862746,0.65862745,1.0,1.0,0.22137254,1.0,1.0,1
1.0,0.42,0.42,1.0,1.0,1.0,0.0,1.0,1
1.0,0.28137255,0.29137254,1.0,1.0,0.1921711,1.0,1.0,1
1.0,0.06862745,0.06862745,1.0,1.0,0.3467703,1.0,1.0,1
0.96862745,1.0,1.0,1.0,1.0,0.13862745,1.0,1.0,1
1.0,0.7513726,0.6986275,1.0,1.0,0.35778832,1.0,1.0,1
0.03137255,0.7413725,1.0,1.0,0.0,0.0,1.0,1.0,1
1.0,0.16137254,0.16137254,1.0,0.0,0.0,1.0,1.0,1
0.96862745,1.0,1.0,0.0,0.03137255,0.03137255,0.21062745,1.0,1
1.0,1.0,0.97862744,1.0,1.0,0.29337192,1.0,1.0,1
1.0,0.59137255,0.84862745,1.0,0.03137255,0.0,1.0,1.0,1
0.96862745,1.0,1.0,1.0,1.0,1.0,0.96137255,1.0,1
1.0,0.76137257,0.77137256,1.0,1.0,0.16973683,1.0,1.0,1
1.0,0.5513725,0.5513725,1.0,0.54137254,0.38862744,1.0,1.0,1
1.0,0.71137255,0.73137254,1.0,1.0,0.17349105,1.0,1.0,1
1.0,0.91137254,0.85862744,1.0,1.0,0.19158219,1.0,1.0,1
1.0,0.33137256,0.33137256,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,0.97862744,1.0,1.0,0.19044563,1.0,1.0,1
0.96862745,1.0,1.0,1.0,1.0,1.0,0.38962746,1.0,1
